TileID,Site,Side,Pocilloporidae,Poritidae,Acroporidae,Other ,Dead,SGD_level,Notes
V16,Varari,Bottom ,15,1,1,0,10,,"two question mark circles not yet added from bottom, second recruit not sure of, is 8 dead?, question on 7 and 11 "
V16,Varari,Top ,1,0,0,0,0,,
V16,Varari,Side ,3,1,0,0,1,,
V15,Varari,Bottom ,31,1,0,0,26,,"4 all close by, confident on 1 - are other 3 dead?, Por rus?, one questionable (would be dead), need to add 3 from question mark if are dead and correct, so many dead onesss - only counting dead Poc "
V15,Varari,Top ,0,0,0,0,0,,
V15,Varari,Side,1,0,0,0,0,,
V13,Varari,Bottom ,7,0,0,0,4,,"one pretty messed up but count as Poc (remove one if doesn't count after asking Pete), 1 maybe on the top - CHECK "
V13,Varari,Top ,1,0,0,0,0,,
V13,Varari,Side,0,0,0,0,0,,
V12,Varari,Bottom ,127,0,0,0,119,,woah! 
V12,Varari,Top ,0,0,0,0,0,,
V12,Varari,Side,4,0,0,0,0,,
V11,Varari,Bottom ,51,0,0,0,38,,question mark- REMOVE if wrong 
V11,Varari,Top ,0,0,0,0,0,,
V11,Varari,Side ,7,0,0,0,5,,
V14,Varari,Bottom ,1,0,1,0,0,,
V14,Varari,Top ,0,0,0,0,0,,
V14,Varari,Side ,0,0,0,0,0,,
V17,Varari,Bottom ,3,1,3,0,3,,check about Acroporids
V17,Varari,Top ,0,0,0,0,0,,
V17,Varari,Side ,0,0,0,0,0,,
V18,Varari,Bottom ,7,0,0,0,6,,
V18,Varari,Top ,0,0,0,0,0,,
V18,Varari,Side ,4,2,0,0,4,,
V19,Varari,Bottom ,5,0,0,0,2,,
V19,Varari,Top ,0,0,0,0,0,,
V19,Varari,Side ,0,0,0,0,0,,
V20,Varari,Bottom ,4,0,0,0,4,,
V20,Varari,Top ,0,0,0,0,0,,
V20,Varari,Side ,0,0,0,0,0,,
V10,Varari,Bottom ,56,2,0,0,39,,
V10,Varari,Top ,0,0,0,0,0,,
V10,Varari,Side ,4,0,0,0,2,,
V9,Varari,Bottom ,18,1,0,0,11,,
V9,Varari,Top ,0,0,0,0,0,,
V9,Varari,Side ,0,0,0,0,0,,
V8,Varari,Bottom ,0,0,0,0,0,,
V8,Varari,Top ,0,0,0,0,0,,
V8,Varari,Side ,2,0,0,0,2,,
V7,Varari,Bottom ,10,0,0,0,3,,
V7,Varari,Top ,2,0,2,0,0,,
V7,Varari,Side ,2,0,0,0,1,,
V6,Varari,Bottom ,26,0,0,2,18,,question on 2 maybe dead ones (only counted 1 of 2) 
V6,Varari,Top ,0,0,0,0,0,,
V6,Varari,Side ,2,2,0,0,0,,
V5,Varari,Bottom ,38,0,0,0,21,,
V5,Varari,Top ,0,0,0,0,0,,
V5,Varari,Side ,6,0,0,0,5,,
V4,Varari,Bottom ,25,0,0,0,15,,
V4,Varari,Top ,0,0,0,0,0,,
V4,Varari,Side ,2,0,0,0,2,,
V3,Varari,Bottom ,1,0,0,0,1,,
V3,Varari,Top ,0,0,0,0,0,,
V3,Varari,Side ,1,0,0,0,1,,
V2,Varari,Bottom ,95,0,0,0,51,,"question about a dead Poc, just to confirm if it is Poc "
V2,Varari,Top ,0,0,0,0,0,,
V2,Varari,Side ,1,0,0,0,1,,
V1,Varari,Bottom ,80,1,0,0,59,,
V1,Varari,Top ,0,0,0,0,0,,
V1,Varari,Side ,12,0,0,0,12,,
C15 ,Cabral ,Bottom ,10,2,2,0,7,,
C15 ,Cabral ,Top ,0,0,0,0,0,,
C15 ,Cabral ,Side ,0,0,0,0,0,,
C16 ,Cabral ,Bottom ,7,3,0,0,3,,
C16 ,Cabral ,Top ,0,0,0,0,0,,
C16 ,Cabral ,Side ,0,0,0,0,0,,
C17,Cabral ,Bottom ,41,1,0,0,29,,
C17,Cabral ,Top ,0,0,0,0,0,,
C17,Cabral ,Side ,0,0,0,0,0,,
C18,Cabral ,Bottom ,1,0,0,1,1,,"question about picture 1, what is that? "
C18,Cabral ,Top ,0,0,0,0,0,,
C18,Cabral ,Side ,0,0,0,0,0,,
C19,Cabral ,Bottom ,0,0,0,0,0,,
C19,Cabral ,Top ,0,0,0,0,0,,
C19,Cabral ,Side ,0,0,0,0,0,,
C20,Cabral ,Bottom ,145,1,0,0,68,,
C20,Cabral ,Top ,0,0,0,0,0,,
C20,Cabral ,Side ,0,0,0,0,0,,
C14,Cabral ,Bottom ,8,1,4,0,7,,"question about a possible Acropora? , and a Porites?? "
C14,Cabral ,Top ,0,0,0,0,0,,
C14,Cabral ,Side ,0,0,0,0,0,,
C13,Cabral ,Bottom ,15,0,0,1,13,,
C13,Cabral ,Top ,0,0,0,0,0,,
C13,Cabral ,Side ,0,0,0,0,0,,
C12,Cabral ,Bottom ,82,2,1,1,48,,
C12,Cabral ,Top ,0,0,0,0,0,,
C12,Cabral ,Side ,0,0,0,0,0,,
C11,Cabral ,Bottom ,2,0,0,0,1,,
C11,Cabral ,Top ,0,0,0,0,0,,
C11,Cabral ,Side ,0,0,0,0,0,,
C10,Cabral ,Bottom ,10,0,0,0,7,,
C10,Cabral ,Top ,0,0,0,0,0,,
C10,Cabral ,Side ,1,0,0,0,1,,
C9,Cabral ,Bottom ,2,0,0,1,1,,
C9,Cabral ,Top ,0,0,0,0,0,,
C9,Cabral ,Side ,0,0,0,0,0,,
C8,Cabral ,Bottom ,8,0,0,0,4,,
C8,Cabral ,Top ,0,0,0,0,0,,
C8,Cabral ,Side ,1,0,0,0,0,,
C6,Cabral ,Bottom ,17,1,0,0,9,,
C6,Cabral ,Top ,0,0,0,0,0,,
C6,Cabral ,Side ,0,0,0,0,0,,
C5 ,Cabral ,Bottom ,6,0,0,0,6,,
C5 ,Cabral ,Top ,0,0,0,0,0,,
C5 ,Cabral ,Side ,0,0,0,0,0,,
C4,Cabral ,Bottom ,2,0,0,0,0,,
C4,Cabral ,Top ,0,0,0,0,0,,
C4,Cabral ,Side ,0,0,0,0,0,,
C3,Cabral ,Bottom ,1,0,0,0,0,,
C3,Cabral ,Top ,0,0,0,0,0,,
C3,Cabral ,Side ,0,0,0,0,0,,
C2,Cabral ,Bottom ,15,0,0,0,11,,
C2,Cabral ,Top ,0,0,0,0,0,,
C2,Cabral ,Side ,0,0,0,0,0,,
C1,Cabral ,Bottom ,29,0,0,0,14,,
C1,Cabral ,Top ,0,0,0,0,0,,
C1,Cabral ,Side ,0,0,0,0,0,,
C7,Cabral ,Bottom ,8,0,0,0,5,,
C7,Cabral ,Top ,0,0,0,0,0,,
C7,Cabral ,Side ,0,0,0,0,0,,