TrisCalDate,(Intercept),TTris,Location,treatmentID_rep,treatment_level,time,sampling_period,experiment_number,date,orion_pH,mV,temp,salinity,light,note,TA,phosphate,silicate,NN,ammonia,mVTris,pH
1/12/24,-87.56246769,1.191300167,Cabral,Fresh_GW,Fresh,6:30:00,1,1,1/13/24,7.33,-5,25.936,0.744,NA,NA,NA,NA,NA,NA,NA,-56.66490656,7.161007538
1/12/24,-87.56246769,1.191300167,Cabral,Low1,Low,7:30:00,1,1,1/13/24,8.24,-53.4,28.457,35.93,100,NA,2367.53447,0.29,4.11,0.67,1.02,-53.66163884,7.983965521
1/12/24,-87.56246769,1.191300167,Cabral,Low2,Low,7:30:00,1,1,1/13/24,8.24,-53,28.418,35.6,106,NA,2371.365378,0.31,5.73,0.86,0.28,-53.70809955,7.977049995
1/12/24,-87.56246769,1.191300167,Cabral,Low3,Low,7:30:00,1,1,1/13/24,8.24,-53.5,28.275,35.7,122,NA,2355.610949,0.23,3.47,0.71,1.82,-53.87845547,7.987151625
1/12/24,-87.56246769,1.191300167,Cabral,Med1,Medium,7:30:00,1,1,1/13/24,8.22,-52.3,28.006,35.3,109,NA,2390.644925,0.3,7.32,1.24,1.43,-54.19891522,7.969190675
1/12/24,-87.56246769,1.191300167,Cabral,Med2,Medium,7:30:00,1,1,1/13/24,8.24,-53.2,28.361,35.44,107,NA,2381.858793,0.28,6.65,1.14,1.36,-53.77600366,7.980693777
1/12/24,-87.56246769,1.191300167,Cabral,Med3,Medium,7:30:00,1,1,1/13/24,8.23,-52.6,28.468,35.31,129,NA,2354.232926,0.32,7.12,1.28,0.95,-53.64853454,7.969259101
1/12/24,-87.56246769,1.191300167,Cabral,High1,High,7:30:00,1,1,1/13/24,8.25,-53.7,28.259,34.36,126,NA,2441.19677,0.41,13.76,2.71,2.73,-53.89751627,7.988070979
1/12/24,-87.56246769,1.191300167,Cabral,High2,High,7:30:00,1,1,1/13/24,8.19,-50.4,27.719,34.48,104,NA,2448.419,0.53,14.71,2.71,0.61,-54.54081836,7.938845493
1/12/24,-87.56246769,1.191300167,Cabral,High3,High,7:30:00,1,1,1/13/24,8.22,-52.4,28.695,35.01,116,NA,2443.870626,0.4,13.21,2.41,1.43,-53.3781094,7.962899697
1/12/24,-87.56246769,1.191300167,Cabral,Ambient1,Ambient,7:30:00,1,1,1/13/24,8.3,-56.2,28.761,35.68,125,NA,2347.161172,0.29,2.99,0.74,2.86,-53.29948359,8.02692136
1/12/24,-87.56246769,1.191300167,Cabral,Ambient2,Ambient,7:30:00,1,1,1/13/24,8.25,-53.9,28.619,35.94,123,NA,2361.055335,0.27,2.73,0.41,0.65,-53.46864821,7.990580906
1/12/24,-87.56246769,1.191300167,Cabral,Ambient3,Ambient,7:30:00,1,1,1/13/24,8.25,-53.7,28.689,35.99,124,NA,2348.890804,0.26,2.77,0.44,2.88,-53.3852572,7.986580373
1/12/24,-87.56246769,1.191300167,Cabral,Low1,Low,12:30:00,2,1,1/13/24,8.25,-53.9,30.524,36.01,380,NA,NA,NA,NA,NA,NA,-51.1992214,7.970038385
1/12/24,-87.56246769,1.191300167,Cabral,Low2,Low,12:30:00,2,1,1/13/24,8.25,-53.6,30.496,35.81,252,NA,NA,NA,NA,NA,NA,-51.2325778,7.964984915
1/12/24,-87.56246769,1.191300167,Cabral,Low3,Low,12:30:00,2,1,1/13/24,8.25,-54,30.407,35.57,385,NA,NA,NA,NA,NA,NA,-51.33860352,7.972138213
1/12/24,-87.56246769,1.191300167,Cabral,Med1,Medium,12:30:00,2,1,1/13/24,8.23,-52.7,30.484,35.53,325,NA,NA,NA,NA,NA,NA,-51.2468734,7.949651561
1/12/24,-87.56246769,1.191300167,Cabral,Med2,Medium,12:30:00,2,1,1/13/24,8.23,-52.8,30.27,35.56,502,NA,NA,NA,NA,NA,NA,-51.50181164,7.953672133
1/12/24,-87.56246769,1.191300167,Cabral,Med3,Medium,12:30:00,2,1,1/13/24,8.25,-54.1,30.417,35.48,382,NA,NA,NA,NA,NA,NA,-51.32669051,7.973521912
1/12/24,-87.56246769,1.191300167,Cabral,High1,High,12:30:00,2,1,1/13/24,8.19,-50.4,30.415,34.64,522,NA,NA,NA,NA,NA,NA,-51.32907311,7.91057341
1/12/24,-87.56246769,1.191300167,Cabral,High2,High,12:30:00,2,1,1/13/24,8.2,-51.1,30.535,34.74,342,NA,NA,NA,NA,NA,NA,-51.18611709,7.92109958
1/12/24,-87.56246769,1.191300167,Cabral,High3,High,12:30:00,2,1,1/13/24,8.26,-54.5,30.587,34.8,354,NA,NA,NA,NA,NA,NA,-51.12416949,7.977069711
1/12/24,-87.56246769,1.191300167,Cabral,Ambient1,Ambient,12:30:00,2,1,1/13/24,8.28,-55.2,30.624,36.14,365,NA,NA,NA,NA,NA,NA,-51.08009138,7.990767356
1/12/24,-87.56246769,1.191300167,Cabral,Ambient2,Ambient,12:30:00,2,1,1/13/24,8.25,-53.5,30.245,36.14,477,NA,NA,NA,NA,NA,NA,-51.53159414,7.966670276
1/12/24,-87.56246769,1.191300167,Cabral,Ambient3,Ambient,12:30:00,2,1,1/13/24,8.24,-53,30.41,36.2,365,NA,NA,NA,NA,NA,NA,-51.33502961,7.956695873
1/12/24,-87.56246769,1.191300167,Cabral,Low1,Low,18:00:00,3,1,1/13/24,8.27,-54.5,29.612,36.4,NA,apogee batttery issue,NA,NA,NA,NA,NA,-52.28568715,7.990685619
1/12/24,-87.56246769,1.191300167,Cabral,Low2,Low,18:00:00,3,1,1/13/24,8.26,-54.5,29.886,36.19,NA,NA,NA,NA,NA,NA,NA,-51.9592709,7.987288733
1/12/24,-87.56246769,1.191300167,Cabral,Low3,Low,18:00:00,3,1,1/13/24,8.25,-53.9,29.596,36.31,NA,NA,NA,NA,NA,NA,NA,-52.30474795,7.98069534
1/12/24,-87.56246769,1.191300167,Cabral,Med1,Medium,18:00:00,3,1,1/13/24,8.21,-51.8,29.627,35.85,NA,NA,NA,NA,NA,NA,NA,-52.26781765,7.944509634
1/12/24,-87.56246769,1.191300167,Cabral,Med2,Medium,18:00:00,3,1,1/13/24,8.24,-53,30.221,35.89,NA,NA,NA,NA,NA,NA,NA,-51.56018535,7.958146441
1/12/24,-87.56246769,1.191300167,Cabral,Med3,Medium,18:00:00,3,1,1/13/24,8.23,-52.5,29.567,35.96,NA,NA,NA,NA,NA,NA,NA,-52.33929566,7.957020312
1/12/24,-87.56246769,1.191300167,Cabral,High1,High,18:00:00,3,1,1/13/24,8.22,-52.3,29.515,34.99,NA,NA,NA,NA,NA,NA,NA,-52.40124326,7.952399453
1/12/24,-87.56246769,1.191300167,Cabral,High2,High,18:00:00,3,1,1/13/24,8.22,-52.4,29.079,35.04,NA,NA,NA,NA,NA,NA,NA,-52.92065014,7.958836223
1/12/24,-87.56246769,1.191300167,Cabral,High3,High,18:00:00,3,1,1/13/24,8.26,-54.1,29.018,35.4,NA,NA,NA,NA,NA,NA,NA,-52.99331945,7.98853404
1/12/24,-87.56246769,1.191300167,Cabral,Ambient1,Ambient,18:00:00,3,1,1/13/24,8.28,-55.4,29.63,36.98,NA,NA,NA,NA,NA,NA,NA,-52.26424374,8.0066204
1/12/24,-87.56246769,1.191300167,Cabral,Ambient2,Ambient,18:00:00,3,1,1/13/24,8.24,-53.5,29.383,36.43,NA,NA,NA,NA,NA,NA,NA,-52.55849489,7.97658427
1/12/24,-87.56246769,1.191300167,Cabral,Ambient3,Ambient,18:00:00,3,1,1/13/24,8.24,-53.4,29.629,36.6,NA,NA,NA,NA,NA,NA,NA,-52.26543505,7.972584872
1/14/24,-90.64380777,1.258839738,Cabral,Fresh_GW,Fresh,6:40:00,1,2,1/14/24,7.38,-7.5,25.814,0.365,NA,NA,5273.887603,1.18,332.92,36.51,1.39,-58.14811878,7.181379996
1/14/24,-90.64380777,1.258839738,Cabral,Fresh_GW,Fresh,17:00:00,2,2,1/14/24,7.64,-4.4,23.92,0.367,NA,NA,NA,1.32,298.65,24.59,6.94,-60.53236124,7.138075828
1/14/24,-90.64380777,1.258839738,Cabral,Low1,Low,7:20:00,4,1,1/14/24,8.19,-53.1,28.72,35.39,NA,new salinity calibration,NA,1.23,280.03,1.58,1.52,-54.4899305,7.955991413
1/14/24,-90.64380777,1.258839738,Cabral,Low2,Low,7:20:00,4,1,1/14/24,8.19,-53.2,28.566,35.21,NA,NA,NA,1.67,246.21,0.61,9.09,-54.68379182,7.958790291
1/14/24,-90.64380777,1.258839738,Cabral,Low3,Low,7:20:00,4,1,1/14/24,8.19,-53.3,28.669,35.4,NA,NA,NA,2.03,275.96,0.34,18.69,-54.55413133,7.959839933
1/14/24,-90.64380777,1.258839738,Cabral,Med1,Medium,7:20:00,4,1,1/14/24,8.17,-52,28.547,34.9,NA,NA,NA,2.04,616.45,50.14,12.61,-54.70770978,7.938329599
1/14/24,-90.64380777,1.258839738,Cabral,Med2,Medium,7:20:00,4,1,1/14/24,8.2,-53.6,28.725,34.93,NA,NA,NA,8.88,266.05,51.26,86.84,-54.48363631,7.963405294
1/14/24,-90.64380777,1.258839738,Cabral,Med3,Medium,7:20:00,4,1,1/14/24,8.19,-52.9,28.597,34.94,NA,NA,NA,NA,NA,NA,NA,-54.64476779,7.952962322
1/14/24,-90.64380777,1.258839738,Cabral,High1,High,7:20:00,4,1,1/14/24,8.18,-52.7,28.717,34.14,NA,NA,NA,NA,NA,NA,NA,-54.49370702,7.946967693
1/14/24,-90.64380777,1.258839738,Cabral,High2,High,7:20:00,4,1,1/14/24,8.17,-53.8,28.824,34.13,NA,NA,NA,NA,NA,NA,NA,-54.35901117,7.964289378
1/14/24,-90.64380777,1.258839738,Cabral,High3,High,7:20:00,4,1,1/14/24,8.22,-54.4,28.616,34.33,NA,NA,NA,NA,NA,NA,NA,-54.62084984,7.976675542
1/14/24,-90.64380777,1.258839738,Cabral,Ambient1,Ambient,7:20:00,4,1,1/14/24,8.22,-54.3,28.472,35.54,NA,NA,NA,NA,NA,NA,NA,-54.80212276,7.978715958
1/14/24,-90.64380777,1.258839738,Cabral,Ambient2,Ambient,7:20:00,4,1,1/14/24,8.19,-53.3,28.87,35.48,NA,NA,NA,NA,NA,NA,NA,-54.30110454,7.9580634
1/14/24,-90.64380777,1.258839738,Cabral,Ambient3,Ambient,7:20:00,4,1,1/14/24,8.2,-53.4,28.734,35.56,NA,NA,NA,NA,NA,NA,NA,-54.47230675,7.961196104
1/14/24,-90.64380777,1.258839738,Cabral,Low1,Low,10:00:00,1,2,1/14/24,8.26,-54.5,29.169,34.49,NA,NA,2373.081099,0.23,3.49,0.57,2,-53.92471146,7.973320159
1/14/24,-90.64380777,1.258839738,Cabral,Low2,Low,10:00:00,1,2,1/14/24,8.24,-53.1,29.257,33.47,NA,NA,2387.31106,0.22,3.47,0.38,0.26,-53.81393356,7.947283119
1/14/24,-90.64380777,1.258839738,Cabral,Low3,Low,10:00:00,1,2,1/14/24,8.22,-52.3,29.132,34.46,NA,NA,2372.544712,0.21,3.31,0.48,1.09,-53.97128853,7.936941397
1/14/24,-90.64380777,1.258839738,Cabral,Med1,Medium,10:00:00,1,2,1/14/24,8.22,-52.1,29.235,34.06,NA,NA,2399.357507,0.21,7.03,0.85,0.1,-53.84162804,7.931892246
1/14/24,-90.64380777,1.258839738,Cabral,Med2,Medium,10:00:00,1,2,1/14/24,8.22,-52.1,29.085,34.09,NA,NA,2396.125451,0.26,6.14,0.86,0.97,-54.030454,7.933369079
1/14/24,-90.64380777,1.258839738,Cabral,Med3,Medium,10:00:00,1,2,1/14/24,8.25,-53.9,29.151,34.11,NA,NA,2410.296189,0.3,6.25,1.75,2.01,-53.94737058,7.962788573
1/14/24,-90.64380777,1.258839738,Cabral,High1,High,10:00:00,1,2,1/14/24,8.24,-53.1,29.169,33.21,NA,NA,2491.554806,0.33,11.88,1.93,1.47,-53.92471146,7.947655891
1/14/24,-90.64380777,1.258839738,Cabral,High2,High,10:00:00,1,2,1/14/24,8.2,-51.1,29.18,33.35,NA,NA,2480.993944,0.27,10.76,1.72,2.7,-53.91086422,7.914460942
1/14/24,-90.64380777,1.258839738,Cabral,High3,High,10:00:00,1,2,1/14/24,8.2,-51,29.278,33.38,NA,NA,2481.625196,0.29,9.61,1.3,3.88,-53.78749793,7.911927841
1/14/24,-90.64380777,1.258839738,Cabral,Ambient1,Ambient,10:00:00,1,2,1/14/24,8.27,-54.8,28.793,34.74,NA,NA,2358.733127,0.13,2.73,0.38,0.35,-54.3980352,7.982420539
1/14/24,-90.64380777,1.258839738,Cabral,Ambient2,Ambient,10:00:00,1,2,1/14/24,8.29,-55.6,30.444,34.61,NA,NA,2355.913455,0.19,1.99,0.35,1.49,-52.3196908,7.979515816
1/14/24,-90.64380777,1.258839738,Cabral,Ambient3,Ambient,10:00:00,1,2,1/14/24,8.24,-53.2,29.081,34.61,NA,NA,2363.679493,0.21,2.18,0.3,14,-54.03548936,7.952714067
1/14/24,-90.64380777,1.258839738,Cabral,Low1,Low,16:05:00,2,2,1/14/24,8.23,-52.5,30.136,34.85,75,lux batt was questionable,NA,NA,NA,NA,NA,-52.70741344,7.931428425
1/14/24,-90.64380777,1.258839738,Cabral,Low2,Low,16:05:00,2,2,1/14/24,8.25,-53.7,30.028,34.82,79,NA,NA,NA,NA,NA,NA,-52.84336813,7.952351339
1/14/24,-90.64380777,1.258839738,Cabral,Low3,Low,16:05:00,2,2,1/14/24,8.27,-54.9,30.787,34.94,87,NA,NA,NA,NA,NA,NA,-51.88790877,7.965175507
1/14/24,-90.64380777,1.258839738,Cabral,Med1,Medium,16:05:00,2,2,1/14/24,8.23,-52.9,30.131,34.5,71,NA,NA,NA,NA,NA,NA,-52.71370763,7.93748444
1/14/24,-90.64380777,1.258839738,Cabral,Med2,Medium,16:05:00,2,2,1/14/24,8.23,-52.4,30.557,34.48,91,NA,NA,NA,NA,NA,NA,-52.17744191,7.925085019
1/14/24,-90.64380777,1.258839738,Cabral,Med3,Medium,16:05:00,2,2,1/14/24,8.21,-51.8,30.783,34.6,87,NA,NA,NA,NA,NA,NA,-51.89294412,7.913198754
1/14/24,-90.64380777,1.258839738,Cabral,High1,High,16:05:00,2,2,1/14/24,8.21,-51.4,30.831,33.65,85,NA,NA,NA,NA,NA,NA,-51.83251982,7.904446007
1/14/24,-90.64380777,1.258839738,Cabral,High2,High,16:05:00,2,2,1/14/24,8.19,-50.4,30.179,33.72,67,NA,NA,NA,NA,NA,NA,-52.65328333,7.894097183
1/14/24,-90.64380777,1.258839738,Cabral,High3,High,16:05:00,2,2,1/14/24,8.25,-53.7,30.149,33.76,93,NA,NA,NA,NA,NA,NA,-52.69104852,7.949283222
1/14/24,-90.64380777,1.258839738,Cabral,Ambient1,Ambient,16:05:00,2,2,1/14/24,8.24,-53.4,30.002,33.15,87,NA,NA,NA,NA,NA,NA,-52.87609796,7.944632953
1/14/24,-90.64380777,1.258839738,Cabral,Ambient2,Ambient,16:05:00,2,2,1/14/24,8.23,-52.7,30.799,35.02,99,NA,NA,NA,NA,NA,NA,-51.87280269,7.928726218
1/14/24,-90.64380777,1.258839738,Cabral,Ambient3,Ambient,16:05:00,2,2,1/14/24,8.27,-54.7,30.713,34.72,85,NA,NA,NA,NA,NA,NA,-51.98106291,7.962177071
1/14/24,-90.64380777,1.258839738,Cabral,Low1,Low,9:00:00,3,2,1/15/24,8.26,-54.1,29.283,35.34,298,NA,NA,NA,NA,NA,NA,-53.78120373,7.96715633
1/14/24,-90.64380777,1.258839738,Cabral,Low2,Low,9:00:00,3,2,1/15/24,8.26,-54.2,29.221,35.42,286,NA,NA,NA,NA,NA,NA,-53.8592518,7.969574704
1/14/24,-90.64380777,1.258839738,Cabral,Low3,Low,9:00:00,3,2,1/15/24,8.27,-54.7,29.251,35.66,304,NA,NA,NA,NA,NA,NA,-53.8214866,7.978079882
1/14/24,-90.64380777,1.258839738,Cabral,Med1,Medium,9:00:00,3,2,1/15/24,8.26,-54.3,29.376,35.06,303,NA,NA,NA,NA,NA,NA,-53.66413164,7.969059559
1/14/24,-90.64380777,1.258839738,Cabral,Med2,Medium,9:00:00,3,2,1/15/24,8.25,-53.7,29.219,35.1,253,NA,NA,NA,NA,NA,NA,-53.86176947,7.960649608
1/14/24,-90.64380777,1.258839738,Cabral,Med3,Medium,9:00:00,3,2,1/15/24,8.25,-53.7,29.173,35.13,311,NA,NA,NA,NA,NA,NA,-53.9196761,7.961149015
1/14/24,-90.64380777,1.258839738,Cabral,High1,High,9:00:00,3,2,1/15/24,8.26,-54.4,29.294,34.24,305,NA,NA,NA,NA,NA,NA,-53.76735649,7.969988589
1/14/24,-90.64380777,1.258839738,Cabral,High2,High,9:00:00,3,2,1/15/24,8.24,-53.3,28.952,34.23,279,NA,NA,NA,NA,NA,NA,-54.19787968,7.954907459
1/14/24,-90.64380777,1.258839738,Cabral,High3,High,9:00:00,3,2,1/15/24,8.29,-55.8,29.396,34.29,321,NA,NA,NA,NA,NA,NA,-53.63895484,7.992420661
1/14/24,-90.64380777,1.258839738,Cabral,Ambient1,Ambient,9:00:00,3,2,1/15/24,8.24,-53.4,29.276,35.18,290,NA,NA,NA,NA,NA,NA,-53.79001561,7.955253883
1/14/24,-90.64380777,1.258839738,Cabral,Ambient2,Ambient,9:00:00,3,2,1/15/24,8.24,-53.3,29.326,35.6,286,NA,NA,NA,NA,NA,NA,-53.72707362,7.953910378
1/14/24,-90.64380777,1.258839738,Cabral,Ambient3,Ambient,9:00:00,3,2,1/15/24,8.27,-54.7,29.23,35.64,313,NA,NA,NA,NA,NA,NA,-53.84792224,7.978244891
1/14/24,-90.64380777,1.258839738,Cabral,Fresh_GW,Fresh,6:45:00,1,3,1/15/24,NA,-21.5,29.719,0.339,NA,NA,5485.770725,1.32,298.65,24.59,6.94,-53.23234961,7.395281777
1/14/24,-90.64380777,1.258839738,Cabral,Low1,Low,12:00:00,1,3,1/15/24,NA,-51.9,29.639,34.61,435,NA,2373.045147,0.26,3.3,0.43,7.19,-53.33305678,7.925738424
1/14/24,-90.64380777,1.258839738,Cabral,Low2,Low,12:00:00,1,3,1/15/24,NA,-53.4,30.052,34.56,395,NA,2375.357579,0.21,3.34,0.41,1.66,-52.81315597,7.946658558
1/14/24,-90.64380777,1.258839738,Cabral,Low3,Low,12:00:00,1,3,1/15/24,NA,-54.1,30.311,34.57,479,NA,2378.428297,0.19,2.85,0.46,2.16,-52.48711648,7.955821899
1/14/24,-90.64380777,1.258839738,Cabral,Med1,Medium,12:00:00,1,3,1/15/24,NA,-53.5,29.688,34.24,480,NA,2405.60747,0.31,5.72,0.94,3.55,-53.27137364,7.951223058
